sku,product_name,brand,category,unit_price,currency
BM-1001,Stainless Steel Water Bottle 750ml,HydroPeak,Drinkware,18.99,USD
BM-1002,Bamboo Cutting Board Large,GreenLeaf,Kitchen,24.50,USD
BM-1003,Wireless Charging Pad 15W,VoltEdge,Electronics,29.95,USD
BM-1004,Organic Cotton Bath Towel,SoftNest,Home,14.25,USD
BM-1005,LED Desk Lamp Dimmable,LumaWorks,Lighting,32.00,USD
BM-1006,Ceramic Pour-Over Coffee Set,BrewCraft,Kitchen,41.75,USD
BM-1007,Memory Foam Pillow Standard,RestWell,Bedding,27.40,USD
BM-1008,Insulated Lunch Tote,PackPro,Bags,16.80,USD
BM-1009,Silicone Baking Mat Set,BakeEase,Kitchen,12.99,USD
BM-1010,Noise-Isolating Earbuds,SonicLite,Electronics,39.99,USD
