product_sku,upc,title,brand_name,category_name,list_price,ccy,season
CG-2001,0078910001,Linen Beach Throw,ShoreLine,Textiles,34.00,USD,Summer
CG-2002,0078910002,Driftwood Picture Frame,CoastCraft,Decor,22.50,USD,All
CG-2003,0078910003,Nautical Rope Doormat,HarborHome,Decor,28.75,USD,All
CG-2004,0078910004,Sea Salt Soy Candle,TideGlow,Home,15.99,USD,All
CG-2005,0078910005,Striped Cotton Hammock,ShoreLine,Outdoor,69.00,USD,Summer
CG-2006,0078910006,Recycled Glass Tumbler Set,CoastCraft,Drinkware,26.40,USD,All
CG-2007,0078910007,Woven Seagrass Basket,HarborHome,Storage,19.95,USD,All
CG-2008,0078910008,Quick-Dry Travel Towel,TideGlow,Textiles,17.25,USD,Summer
CG-2009,0078910009,Ceramic Shell Soap Dish,CoastCraft,Bath,9.50,USD,All
CG-2010,0078910010,Outdoor Solar Lantern,ShoreLine,Lighting,38.80,USD,Summer
